Flight Number,Origin,Destination,Departure Datetime,Arrival Datetime,Elapsed Minutes,Cheapest Price,Search URL,Error Status,Equipment
B6 616,SFO,JFK,09/16/2025 9:00pm,09/16/2025 5:29am,329,$129,https://www.jetblue.com/booking/flights?from=SFO&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 816,SFO,JFK,09/16/2025 11:29pm,09/16/2025 8:00am,331,$129,https://www.jetblue.com/booking/flights?from=SFO&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 38,SJO,FLL,09/16/2025 1:00pm,09/16/2025 6:00pm,180,$108,https://www.jetblue.com/booking/flights?from=SJO&to=FLL&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1794,SJO,JFK,09/16/2025 2:05pm,09/16/2025 9:08pm,303,$174,https://www.jetblue.com/booking/flights?from=SJO&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 276,SJU,BDL,09/16/2025 6:33pm,09/16/2025 10:29pm,236,$190,https://www.jetblue.com/booking/flights?from=SJU&to=BDL&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 562,SJU,BOS,09/16/2025 5:15pm,09/16/2025 9:18pm,243,$227,https://www.jetblue.com/booking/flights?from=SJU&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1348,SJU,DCA,09/16/2025 6:05pm,09/16/2025 9:55pm,230,$357,https://www.jetblue.com/booking/flights?from=SJU&to=DCA&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1890,SJU,EWR,09/16/2025 5:00pm,09/16/2025 9:04pm,244,$269,https://www.jetblue.com/booking/flights?from=SJU&to=EWR&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 992,SJU,FLL,09/16/2025 12:15pm,09/16/2025 2:57pm,162,$305,https://www.jetblue.com/booking/flights?from=SJU&to=FLL&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 954,SJU,FLL,09/16/2025 4:35pm,09/16/2025 7:17pm,162,$305,https://www.jetblue.com/booking/flights?from=SJU&to=FLL&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2602,SJU,HPN,09/16/2025 5:00pm,09/16/2025 8:59pm,239,$329,https://www.jetblue.com/booking/flights?from=SJU&to=HPN&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2904,SJU,JFK,09/16/2025 6:00am,09/16/2025 9:57am,237,$272,https://www.jetblue.com/booking/flights?from=SJU&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 904,SJU,JFK,09/16/2025 1:25pm,09/16/2025 5:22pm,237,$272,https://www.jetblue.com/booking/flights?from=SJU&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1604,SJU,JFK,09/16/2025 2:25pm,09/16/2025 6:20pm,235,$312,https://www.jetblue.com/booking/flights?from=SJU&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 304,SJU,JFK,09/16/2025 6:35pm,09/16/2025 10:32pm,237,$352,https://www.jetblue.com/booking/flights?from=SJU&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1234,SJU,MCO,09/16/2025 7:00am,09/16/2025 10:03am,183,$230,https://www.jetblue.com/booking/flights?from=SJU&to=MCO&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1334,SJU,MCO,09/16/2025 10:00am,09/16/2025 1:02pm,182,$230,https://www.jetblue.com/booking/flights?from=SJU&to=MCO&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1034,SJU,MCO,09/16/2025 1:12pm,09/16/2025 4:13pm,181,$295,https://www.jetblue.com/booking/flights?from=SJU&to=MCO&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2134,SJU,MCO,09/16/2025 4:45pm,09/16/2025 7:50pm,185,$205,https://www.jetblue.com/booking/flights?from=SJU&to=MCO&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1703,SJU,MDE,09/16/2025 10:47am,09/16/2025 12:25pm,158,$117,https://www.jetblue.com/booking/flights?from=SJU&to=MDE&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2831,SJU,PUJ,09/16/2025 9:55am,09/16/2025 10:50am,55,$89,https://www.jetblue.com/booking/flights?from=SJU&to=PUJ&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2631,SJU,PUJ,09/16/2025 2:00pm,09/16/2025 2:58pm,58,$89,https://www.jetblue.com/booking/flights?from=SJU&to=PUJ&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1637,SJU,SDQ,09/16/2025 6:00am,09/16/2025 7:00am,60,$99,https://www.jetblue.com/booking/flights?from=SJU&to=SDQ&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
