Origin,Destination,Departure Date,Flight Number,Departure Time,Arrival Time,Duration,Price,Stops,Route Type
B6 2084,RDU,BOS,09/03/2025 1:47pm,09/03/2025 3:45pm,118,$144,https://www.jetblue.com/booking/flights?from=RDU&to=BOS&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2184,RDU,BOS,09/03/2025 7:05pm,09/03/2025 9:07pm,122,$144,https://www.jetblue.com/booking/flights?from=RDU&to=BOS&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 307,PWM,JFK,09/03/2025 6:05am,09/03/2025 7:28am,83,$90,https://www.jetblue.com/booking/flights?from=PWM&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 407,PWM,JFK,09/03/2025 2:17pm,09/03/2025 3:44pm,87,$109,https://www.jetblue.com/booking/flights?from=PWM&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 525,PVD,SJU,09/03/2025 6:30am,09/03/2025 10:37am,247,$177,https://www.jetblue.com/booking/flights?from=PVD&to=SJU&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1076,PVD,MCO,09/03/2025 9:05am,09/03/2025 11:57am,172,$119,https://www.jetblue.com/booking/flights?from=PVD&to=MCO&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1129,PVD,JFK,09/03/2025 7:34am,09/03/2025 8:30am,56,$59,https://www.jetblue.com/booking/flights?from=PVD&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1078,PUJ,MCO,09/03/2025 1:22pm,09/03/2025 4:20pm,178,$310,https://www.jetblue.com/booking/flights?from=PUJ&to=MCO&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1963,JFK,HYA,09/03/2025 8:20am,09/03/2025 9:31am,71,$154,https://www.jetblue.com/booking/flights?from=JFK&to=HYA&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1273,JFK,CHS,09/03/2025 8:10am,09/03/2025 10:24am,134,$90,https://www.jetblue.com/booking/flights?from=JFK&to=CHS&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1328,JFK,GUA,09/03/2025 11:45am,09/03/2025 2:42pm,297,$121,https://www.jetblue.com/booking/flights?from=JFK&to=GUA&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1929,BOS,SDQ,09/03/2025 5:01am,09/03/2025 9:01am,240,$206,https://www.jetblue.com/booking/flights?from=BOS&to=SDQ&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 449,BOS,SAV,09/03/2025 12:30pm,09/03/2025 3:14pm,164,$124,https://www.jetblue.com/booking/flights?from=BOS&to=SAV&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 219,BOS,SAN,09/03/2025 9:30am,09/03/2025 12:40pm,370,$304,https://www.jetblue.com/booking/flights?from=BOS&to=SAN&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 319,BOS,SAN,09/03/2025 3:45pm,09/03/2025 6:55pm,370,$304,https://www.jetblue.com/booking/flights?from=BOS&to=SAN&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2065,BOS,RSW,09/03/2025 12:35pm,09/03/2025 4:05pm,210,$189,https://www.jetblue.com/booking/flights?from=BOS&to=RSW&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 265,BOS,RSW,09/03/2025 7:15pm,09/03/2025 10:48pm,213,$154,https://www.jetblue.com/booking/flights?from=BOS&to=RSW&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1281,BOS,RIC,09/03/2025 9:29am,09/03/2025 11:18am,109,$129,https://www.jetblue.com/booking/flights?from=BOS&to=RIC&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1081,BOS,RIC,09/03/2025 4:20pm,09/03/2025 6:11pm,111,$129,https://www.jetblue.com/booking/flights?from=BOS&to=RIC&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2083,BOS,RDU,09/03/2025 10:45am,09/03/2025 12:51pm,126,$144,https://www.jetblue.com/booking/flights?from=BOS&to=RDU&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
