Origin,Destination,Departure Date,Flight Number,Departure Time,Arrival Time,Duration,Price,Stops,Route Type,Distance (MI)
"BOS","AMS","09/02/2025 10:35pm","B6 31","09/02/2025 11:35am","420","$514","https://www.jetblue.com/booking/cb-flights?from=BOS&to=AMS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","3447"
"BOS","ACK","09/02/2025 9:35am","B6 2352","09/02/2025 10:29am","54","$99","https://www.jetblue.com/booking/cb-flights?from=BOS&to=ACK&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","91"
"BOS","ACK","09/02/2025 12:32pm","B6 1352","09/02/2025 1:25pm","53","$99","https://www.jetblue.com/booking/cb-flights?from=BOS&to=ACK&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","91"
"BNA","BOS","09/02/2025 7:10am","B6 806","09/02/2025 10:44am","154","$134","https://www.jetblue.com/booking/cb-flights?from=BNA&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","941"
"BNA","BOS","09/02/2025 11:48am","B6 1806","09/02/2025 3:25pm","157","$229","https://www.jetblue.com/booking/cb-flights?from=BNA&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","941"
"BNA","BOS","09/02/2025 7:17pm","B6 506","09/02/2025 10:54pm","157","$134","https://www.jetblue.com/booking/cb-flights?from=BNA&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","941"
"CUR","JFK","09/02/2025 3:43pm","B6 1112","09/02/2025 8:30pm","287","$764","https://www.jetblue.com/booking/cb-flights?from=CUR&to=JFK&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1988"
"BDL","SJU","09/02/2025 8:05am","B6 1475","09/02/2025 11:56am","231","$250","https://www.jetblue.com/booking/cb-flights?from=BDL&to=SJU&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","737.0","1671"
"BDL","SJU","09/02/2025 7:50pm","B6 275","09/02/2025 11:47pm","237","$190","https://www.jetblue.com/booking/cb-flights?from=BDL&to=SJU&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1671"
"DCA","BOS","09/02/2025 8:50am","B6 1854","09/02/2025 10:29am","99","$150","https://www.jetblue.com/booking/cb-flights?from=DCA&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","399"
"DCA","BOS","09/02/2025 10:30am","B6 554","09/02/2025 12:05pm","95","$150","https://www.jetblue.com/booking/cb-flights?from=DCA&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","399"
"DCA","BOS","09/02/2025 11:45am","B6 2454","09/02/2025 1:15pm","90","$150","https://www.jetblue.com/booking/cb-flights?from=DCA&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","399"
"DCA","BOS","09/02/2025 1:44pm","B6 1254","09/02/2025 3:25pm","101","$150","https://www.jetblue.com/booking/cb-flights?from=DCA&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","399"
"DCA","BOS","09/02/2025 3:45pm","B6 1354","09/02/2025 5:20pm","95","$150","https://www.jetblue.com/booking/cb-flights?from=DCA&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","399"
"DCA","BOS","09/02/2025 5:45pm","B6 2954","09/02/2025 7:26pm","101","$150","https://www.jetblue.com/booking/cb-flights?from=DCA&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","399"
"DCA","BOS","09/02/2025 6:50pm","B6 2754","09/02/2025 8:28pm","98","$150","https://www.jetblue.com/booking/cb-flights?from=DCA&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","399"
"JFK","AMS","09/02/2025 7:35pm","B6 2288","09/02/2025 9:20am","465","$324","https://www.jetblue.com/booking/cb-flights?from=JFK&to=AMS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","3634"
"JFK","ACK","09/02/2025 10:35am","B6 2091","09/02/2025 11:53am","78","$139","https://www.jetblue.com/booking/cb-flights?from=JFK&to=ACK&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","199"
"JFK","ACK","09/02/2025 2:00pm","B6 2291","09/02/2025 3:23pm","83","$139","https://www.jetblue.com/booking/cb-flights?from=JFK&to=ACK&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","199"
