Flight Number,Origin,Destination,Departure Datetime,Arrival Datetime,Elapsed Minutes,Cheapest Price,Search URL,Error Status,Equipment
B6 1620,BOS,LHR,11/01/2025 8:12pm,11/01/2025 6:55am,403,$514,https://www.jetblue.com/booking/cb-flights?from=BOS&to=LHR&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 897,BOS,LIR,11/01/2025 10:30am,11/01/2025 2:20pm,350,$611,https://www.jetblue.com/booking/cb-flights?from=BOS&to=LIR&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1193,BOS,MBJ,11/01/2025 7:55am,11/01/2025 11:27am,272,$332,https://www.jetblue.com/booking/cb-flights?from=BOS&to=MBJ&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2251,BOS,MCO,11/01/2025 6:05am,11/01/2025 9:25am,200,$265,https://www.jetblue.com/booking/cb-flights?from=BOS&to=MCO&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 851,BOS,MCO,11/01/2025 8:00am,11/01/2025 11:23am,203,$355,https://www.jetblue.com/booking/cb-flights?from=BOS&to=MCO&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2051,BOS,MCO,11/01/2025 9:34am,11/01/2025 12:50pm,196,$420,https://www.jetblue.com/booking/cb-flights?from=BOS&to=MCO&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2151,BOS,MCO,11/01/2025 11:25am,11/01/2025 2:40pm,195,$355,https://www.jetblue.com/booking/cb-flights?from=BOS&to=MCO&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 551,BOS,MCO,11/01/2025 1:45pm,11/01/2025 5:05pm,200,$265,https://www.jetblue.com/booking/cb-flights?from=BOS&to=MCO&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 451,BOS,MCO,11/01/2025 6:35pm,11/01/2025 10:01pm,206,$89,https://www.jetblue.com/booking/cb-flights?from=BOS&to=MCO&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1151,BOS,MCO,11/01/2025 7:35pm,11/01/2025 10:55pm,200,$89,https://www.jetblue.com/booking/cb-flights?from=BOS&to=MCO&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 401,BOS,MSY,11/01/2025 12:10pm,11/01/2025 3:02pm,232,$94,https://www.jetblue.com/booking/cb-flights?from=BOS&to=MSY&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 909,BOS,NAS,11/01/2025 11:00am,11/01/2025 2:27pm,207,$509,https://www.jetblue.com/booking/cb-flights?from=BOS&to=NAS&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 311,BOS,ORD,11/01/2025 7:00am,11/01/2025 9:05am,185,$129,https://www.jetblue.com/booking/cb-flights?from=BOS&to=ORD&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 821,BOS,PBI,11/01/2025 7:10am,11/01/2025 10:32am,202,$345,https://www.jetblue.com/booking/cb-flights?from=BOS&to=PBI&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2321,BOS,PBI,11/01/2025 11:59am,11/01/2025 3:20pm,201,$255,https://www.jetblue.com/booking/cb-flights?from=BOS&to=PBI&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 21,BOS,PBI,11/01/2025 5:05pm,11/01/2025 8:24pm,199,$149,https://www.jetblue.com/booking/cb-flights?from=BOS&to=PBI&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 721,BOS,PBI,11/01/2025 6:40pm,11/01/2025 9:59pm,199,$79,https://www.jetblue.com/booking/cb-flights?from=BOS&to=PBI&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 759,BOS,PHL,11/01/2025 2:20pm,11/01/2025 3:57pm,97,$70,https://www.jetblue.com/booking/cb-flights?from=BOS&to=PHL&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1459,BOS,PHL,11/01/2025 7:00pm,11/01/2025 8:40pm,100,$70,https://www.jetblue.com/booking/cb-flights?from=BOS&to=PHL&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 369,BOS,PHX,11/01/2025 5:50pm,11/01/2025 8:52pm,362,$214,https://www.jetblue.com/booking/cb-flights?from=BOS&to=PHX&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1585,BOS,PIT,11/01/2025 7:00am,11/01/2025 8:59am,119,$79,https://www.jetblue.com/booking/cb-flights?from=BOS&to=PIT&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1985,BOS,PIT,11/01/2025 1:30pm,11/01/2025 3:26pm,116,$79,https://www.jetblue.com/booking/cb-flights?from=BOS&to=PIT&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2185,BOS,PIT,11/01/2025 7:50pm,11/01/2025 9:48pm,118,$94,https://www.jetblue.com/booking/cb-flights?from=BOS&to=PIT&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 453,BOS,PLS,11/01/2025 7:00am,11/01/2025 10:46am,226,$584,https://www.jetblue.com/booking/cb-flights?from=BOS&to=PLS&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 785,BOS,POP,11/01/2025 1:15pm,11/01/2025 5:16pm,241,$176,https://www.jetblue.com/booking/cb-flights?from=BOS&to=POP&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 206,BOS,PQI,11/01/2025 8:59pm,11/01/2025 10:26pm,87,$54,https://www.jetblue.com/booking/cb-flights?from=BOS&to=PQI&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1883,BOS,RDU,11/01/2025 7:40am,11/01/2025 9:53am,133,$109,https://www.jetblue.com/booking/cb-flights?from=BOS&to=RDU&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2783,BOS,RDU,11/01/2025 5:40pm,11/01/2025 7:55pm,135,$76,https://www.jetblue.com/booking/cb-flights?from=BOS&to=RDU&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1081,BOS,RIC,11/01/2025 2:49pm,11/01/2025 4:45pm,116,$84,https://www.jetblue.com/booking/cb-flights?from=BOS&to=RIC&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 65,BOS,RSW,11/01/2025 9:50am,11/01/2025 1:27pm,217,$544,https://www.jetblue.com/booking/cb-flights?from=BOS&to=RSW&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 465,BOS,RSW,11/01/2025 2:12pm,11/01/2025 5:45pm,213,$469,https://www.jetblue.com/booking/cb-flights?from=BOS&to=RSW&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 365,BOS,RSW,11/01/2025 4:55pm,11/01/2025 8:36pm,221,$294,https://www.jetblue.com/booking/cb-flights?from=BOS&to=RSW&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 165,BOS,RSW,11/01/2025 6:15pm,11/01/2025 9:54pm,219,$164,https://www.jetblue.com/booking/cb-flights?from=BOS&to=RSW&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 619,BOS,SAN,11/01/2025 7:40am,11/01/2025 11:18am,398,$162,https://www.jetblue.com/booking/cb-flights?from=BOS&to=SAN&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 19,BOS,SAN,11/01/2025 3:45pm,11/01/2025 7:16pm,391,$144,https://www.jetblue.com/booking/cb-flights?from=BOS&to=SAN&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 249,BOS,SAV,11/01/2025 8:52am,11/01/2025 11:40am,168,$149,https://www.jetblue.com/booking/cb-flights?from=BOS&to=SAV&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 349,BOS,SAV,11/01/2025 3:50pm,11/01/2025 6:31pm,161,$89,https://www.jetblue.com/booking/cb-flights?from=BOS&to=SAV&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1941,BOS,SRQ,11/01/2025 8:40am,11/01/2025 12:05pm,205,$500,https://www.jetblue.com/booking/cb-flights?from=BOS&to=SRQ&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1877,BOS,SXM,11/01/2025 7:00am,11/01/2025 11:13am,253,$166,https://www.jetblue.com/booking/cb-flights?from=BOS&to=SXM&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1977,BOS,SXM,11/01/2025 10:45am,11/01/2025 2:57pm,252,$166,https://www.jetblue.com/booking/cb-flights?from=BOS&to=SXM&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 845,BOS,SYR,11/01/2025 8:45pm,11/01/2025 10:07pm,82,$74,https://www.jetblue.com/booking/cb-flights?from=BOS&to=SYR&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 363,BOS,UVF,11/01/2025 8:35am,11/01/2025 1:22pm,287,$249,https://www.jetblue.com/booking/cb-flights?from=BOS&to=UVF&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2072,BQN,FLL,11/01/2025 8:15am,11/01/2025 10:48am,153,$98,https://www.jetblue.com/booking/cb-flights?from=BQN&to=FLL&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
